Commands,Model Parameters,,,,,,,Reflectivity Data from Air,,,Model,Tiles,,,,,Profile,,,Incoherent Sum,,,ctrl-s,χ2,,,,,,,,,,
ctrl-l : Load,Compound,Nb (Å-2),μlabs/l [Å-2],μlinc [Å-1],d (Å),σfwhm (Å),ωdPS,Q (Å-1),R,dR,Rmodel,nrough,Nb (Å-2),mlabs/l [Å-2],mlinc [Å-1],d (Å),z (Å),Nb (Å-2),,R(1 – δd/d),R(1 ),R(1 + δd/d),Sum,29.6,,,,,,,,,,
,,,,,,,,3.750E-02,1.285E-03,4.390E-05,3.22E-04,,2.46E-06,0.00E+00,0.00E+00,1.52,246.54,2.67E-06,,1.97E-03,3.22E-04,2.32E-03,1.23E-03,1.4,,,,,,,,,,
,,,,,,,,3.788E-02,1.887E-03,5.285E-05,4.29E-04,,2.48E-06,0.00E+00,0.00E+00,1.52,246.54,2.68E-06,,1.22E-03,4.29E-04,3.55E-03,1.41E-03,82.3,,,,,,,,,,
,,,,,,,,3.826E-02,2.432E-03,5.900E-05,8.39E-04,,2.51E-06,0.00E+00,0.00E+00,1.52,248.06,2.68E-06,,6.69E-04,8.39E-04,4.97E-03,1.83E-03,1.2,,,,,,,,,,
,,,,,,,,3.864E-02,3.225E-03,6.625E-05,1.53E-03,,2.54E-06,0.00E+00,0.00E+00,1.52,248.06,2.69E-06,,3.43E-04,1.53E-03,6.50E-03,2.48E-03,0.6,,,,,,,,,,
,,,,,,,,3.902E-02,4.183E-03,7.444E-05,2.47E-03,,2.58E-06,0.00E+00,0.00E+00,1.52,249.58,2.69E-06,,2.67E-04,2.47E-03,8.05E-03,3.31E-03,1.8,,,,,,,,,,
,,,,,,,,3.941E-02,5.278E-03,8.270E-05,3.60E-03,,2.62E-06,0.00E+00,0.00E+00,1.52,249.58,2.71E-06,,4.48E-04,3.60E-03,9.53E-03,4.30E-03,2.3,,,,,,,,,,
,,,,,,,,3.981E-02,6.321E-03,8.803E-05,4.86E-03,,2.66E-06,0.00E+00,0.00E+00,0.76,251.09,2.71E-06,,8.78E-04,4.86E-03,1.09E-02,5.37E-03,1.2,,,,,,,,,,
,,,,,,,,4.021E-02,7.579E-03,9.554E-05,6.18E-03,,2.66E-06,0.00E+00,0.00E+00,0.76,251.09,2.73E-06,,1.53E-03,6.18E-03,1.20E-02,6.47E-03,2.8,,,,,,,,,,
,,,,,,,,4.061E-02,8.566E-03,1.004E-04,7.48E-03,,2.70E-06,0.00E+00,0.00E+00,1.52,252.61,2.73E-06,,2.38E-03,7.48E-03,1.28E-02,7.54E-03,0.2,,,,,,,,,,
,,,,,,,,4.102E-02,9.463E-03,1.063E-04,8.69E-03,,2.74E-06,0.00E+00,0.00E+00,1.52,252.61,2.75E-06,,3.38E-03,8.69E-03,1.33E-02,8.52E-03,0.2,,,,,,,,,,
,,,,,,,,4.143E-02,9.778E-03,1.095E-04,9.74E-03,,2.79E-06,0.00E+00,0.00E+00,1.52,254.13,2.75E-06,,4.46E-03,9.74E-03,1.35E-02,9.36E-03,1.0,,,,,,,,,,
,,,,,,,,4.184E-02,1.044E-02,1.056E-04,1.06E-02,,2.84E-06,0.00E+00,0.00E+00,1.52,254.13,2.79E-06,,5.57E-03,1.06E-02,1.33E-02,1.00E-02,4.4,,,,,,,,,,
,,,,,,,,4.226E-02,1.076E-02,1.064E-04,1.12E-02,,2.88E-06,0.00E+00,0.00E+00,1.52,255.65,2.79E-06,,6.65E-03,1.12E-02,1.28E-02,1.04E-02,0.0,,,,,,,,,,
,,,,,,,,4.268E-02,1.039E-02,1.022E-04,1.15E-02,,2.92E-06,0.00E+00,0.00E+00,1.52,255.65,2.82E-06,,7.64E-03,1.15E-02,1.20E-02,1.06E-02,1.3,,,,,,,,,,
,,,,,,,,4.311E-02,1.024E-02,1.005E-04,1.15E-02,,2.96E-06,0.00E+00,0.00E+00,1.52,257.17,2.82E-06,,8.49E-03,1.15E-02,1.09E-02,1.06E-02,4.0,,,,,,,,,,
,,,,,,,,4.354E-02,9.347E-03,9.430E-05,1.12E-02,,2.99E-06,0.00E+00,0.00E+00,1.52,257.17,2.86E-06,,9.14E-03,1.12E-02,9.71E-03,1.03E-02,0.6,,,,,,,,,,
,,,,,,,,4.397E-02,9.164E-03,9.356E-05,1.07E-02,,3.02E-06,0.00E+00,0.00E+00,1.52,258.69,2.86E-06,,9.58E-03,1.07E-02,8.40E-03,9.83E-03,25.9,,,,,,,,,,
,,,,,,,,4.441E-02,8.374E-03,9.039E-05,9.89E-03,,3.05E-06,0.00E+00,0.00E+00,1.52,258.69,2.88E-06,,9.77E-03,9.89E-03,7.06E-03,9.15E-03,0.0,,,,,,,,,,
,,,,,,,,4.486E-02,7.349E-03,8.664E-05,8.94E-03,,3.07E-06,0.00E+00,0.00E+00,1.52,259.45,2.88E-06,,9.72E-03,8.94E-03,5.78E-03,8.34E-03,0.1,,,,,,,,,,
,,,,,,,,4.531E-02,6.281E-03,7.370E-05,7.87E-03,,3.09E-06,0.00E+00,0.00E+00,1.52,259.45,2.89E-06,,9.42E-03,7.87E-03,4.60E-03,7.44E-03,1.1,,,,,,,,,,
,,,,,,,,4.576E-02,5.574E-03,6.885E-05,6.74E-03,,3.11E-06,0.00E+00,0.00E+00,1.52,260.21,2.89E-06,,8.92E-03,6.74E-03,3.58E-03,6.49E-03,8.3,,,,,,,,,,
,,,,,,,,4.622E-02,4.783E-03,6.340E-05,5.61E-03,,3.12E-06,0.00E+00,0.00E+00,1.52,260.21,2.92E-06,,8.22E-03,5.61E-03,2.75E-03,5.55E-03,0.1,,,,,,,,,,
,,,,,,,,4.668E-02,3.916E-03,5.676E-05,4.55E-03,,3.13E-06,0.00E+00,0.00E+00,1.52,261.72,2.92E-06,,7.39E-03,4.55E-03,2.13E-03,4.65E-03,4.1,,,,,,,,,,
,,,,,,,,4.715E-02,3.398E-03,5.330E-05,3.59E-03,,3.13E-06,0.00E+00,0.00E+00,1.52,261.72,2.96E-06,,6.47E-03,3.59E-03,1.71E-03,3.84E-03,1.7,,,,,,,,,,
,,,,,,,,4.762E-02,2.740E-03,4.769E-05,2.78E-03,,3.14E-06,0.00E+00,0.00E+00,1.52,263.24,2.96E-06,,5.52E-03,2.78E-03,1.47E-03,3.14E-03,23.9,,,,,,,,,,
,,,,,,,,4.809E-02,2.313E-03,4.344E-05,2.14E-03,,3.14E-06,0.00E+00,0.00E+00,1.52,263.24,3.00E-06,,4.57E-03,2.14E-03,1.38E-03,2.56E-03,14.6,,,,,,,,,,
,,,,,,,,4.857E-02,1.973E-03,3.960E-05,1.67E-03,,3.14E-06,0.00E+00,0.00E+00,1.52,264.76,3.00E-06,,3.69E-03,1.67E-03,1.40E-03,2.11E-03,22.4,,,,,,,,,,
,,,,,,,,4.906E-02,1.750E-03,3.747E-05,1.37E-03,,3.13E-06,0.00E+00,0.00E+00,1.52,264.76,3.03E-06,,2.91E-03,1.37E-03,1.48E-03,1.78E-03,23.5,,,,,,,,,,
,,,,,,,,4.955E-02,1.594E-03,3.521E-05,1.21E-03,,3.13E-06,0.00E+00,0.00E+00,1.52,266.28,3.03E-06,,2.25E-03,1.21E-03,1.59E-03,1.56E-03,24.5,,,,,,,,,,
,,,,,,,,5.005E-02,1.544E-03,3.426E-05,1.17E-03,,3.12E-06,0.00E+00,0.00E+00,0.76,266.28,3.07E-06,,1.73E-03,1.17E-03,1.68E-03,1.44E-03,19.6,,,,,,,,,,
,,,,,,,,5.055E-02,1.522E-03,3.396E-05,1.21E-03,,3.14E-06,0.00E+00,0.00E+00,0.90,267.80,3.07E-06,,1.36E-03,1.21E-03,1.72E-03,1.38E-03,24.2,,,,,,,,,,
,,,,,,,,5.105E-02,1.486E-03,3.319E-05,1.29E-03,,3.14E-06,0.00E+00,0.00E+00,1.81,267.80,3.10E-06,,1.13E-03,1.29E-03,1.69E-03,1.35E-03,25.1,,,,,,,,,,
,,,,,,,,5.156E-02,1.462E-03,3.298E-05,1.38E-03,,3.13E-06,0.00E+00,0.00E+00,1.81,269.32,3.10E-06,,1.01E-03,1.38E-03,1.59E-03,1.34E-03,18.3,,,,,,,,,,
,,,,,,,,5.208E-02,1.396E-03,3.206E-05,1.45E-03,,3.12E-06,0.00E+00,0.00E+00,1.81,269.32,3.13E-06,,9.93E-04,0.001,1.433E-03,1.33E-03,15.9,,,,,,,,,,
,,,,,,,,5.260E-02,1.301E-03,3.074E-05,1.47E-03,,3.12E-06,0.00E+00,0.00E+00,1.81,270.83,3.13E-06,,1.03E-03,0.001,1.221E-03,1.30E-03,9.5,,,,,,,,,,
,,,,,,,,5.313E-02,1.197E-03,2.929E-05,1.43E-03,,3.12E-06,0.00E+00,0.00E+00,1.81,270.83,3.15E-06,,1.11E-03,0.001,9.825E-04,1.24E-03,4.4,,,,,,,,,,
,,,,,,,,5.366E-02,1.118E-03,2.857E-05,1.33E-03,,3.12E-06,0.00E+00,0.00E+00,1.81,272.35,3.15E-06,,1.18E-03,0.001,7.418E-04,1.15E-03,3.2,,,,,,,,,,
,,,,,,,,5.419E-02,9.729E-04,2.709E-05,1.18E-03,,3.12E-06,0.00E+00,0.00E+00,1.81,272.35,3.17E-06,,1.23E-03,0.001,5.235E-04,1.03E-03,10.0,,,,,,,,,,
,,,,,,,,5.474E-02,8.381E-04,2.638E-05,9.89E-04,,3.13E-06,0.00E+00,0.00E+00,1.81,273.87,3.17E-06,,1.24E-03,0.001,3.476E-04,8.92E-04,8.8,,,,,,,,,,
,,,,,,,,5.528E-02,6.555E-04,2.291E-05,7.84E-04,,3.14E-06,0.00E+00,0.00E+00,1.81,273.87,3.19E-06,,1.20E-03,0.001,2.272E-04,7.50E-04,11.2,,,,,,,,,,
,,,,,,,,5.584E-02,5.916E-04,2.142E-05,5.82E-04,,3.15E-06,0.00E+00,0.00E+00,1.81,275.39,3.19E-06,,1.12E-03,0.001,1.668E-04,6.12E-04,3.7,,,,,,,,,,
,,,,,,,,5.639E-02,5.429E-04,1.998E-05,4.04E-04,,3.17E-06,0.00E+00,0.00E+00,1.81,275.39,3.20E-06,,9.84E-04,0.000,1.626E-04,4.89E-04,23.1,,,,,,,,,,
,,,,,,,,5.696E-02,4.949E-04,1.885E-05,2.66E-04,,3.19E-06,0.00E+00,0.00E+00,1.81,276.91,3.20E-06,,8.23E-04,0.000,2.030E-04,3.89E-04,59.2,,,,,,,,,,
,,,,,,,,5.753E-02,4.325E-04,1.778E-05,1.76E-04,,3.21E-06,0.00E+00,0.00E+00,1.81,276.91,3.21E-06,,6.48E-04,0.000,2.715E-04,3.18E-04,88.2,,,,,,,,,,
,,,,,,,,5.810E-02,4.316E-04,1.733E-05,1.37E-04,,3.24E-06,0.00E+00,0.00E+00,1.81,278.43,3.21E-06,,4.79E-04,0.000,3.493E-04,2.76E-04,77.9,,,,,,,,,,
,,,,,,,,5.868E-02,4.476E-04,1.769E-05,1.44E-04,,3.27E-06,0.00E+00,0.00E+00,1.81,278.43,3.22E-06,,3.31E-04,0.000,4.186E-04,2.59E-04,98.9,,,,,,,,,,
,,,,,,,,5.927E-02,4.527E-04,1.742E-05,1.85E-04,,3.30E-06,0.00E+00,0.00E+00,1.81,279.95,3.22E-06,,2.17E-04,0.000,4.648E-04,2.63E-04,108.8,,,,,,,,,,
,,,,,,,,5.986E-02,4.206E-04,1.671E-05,2.47E-04,,3.34E-06,0.00E+00,0.00E+00,1.81,279.95,3.22E-06,,1.45E-04,0.000,4.791E-04,2.80E-04,98.7,,,,,,,,,,
,,,,,,,,6.046E-02,4.516E-04,1.714E-05,3.14E-04,,3.38E-06,0.00E+00,0.00E+00,1.81,281.46,3.22E-06,,1.15E-04,0.000,4.594E-04,3.00E-04,51.7,,,,,,,,,,
,,,,,,,,6.107E-02,4.020E-04,1.604E-05,3.69E-04,,3.42E-06,0.00E+00,0.00E+00,1.81,281.46,3.21E-06,,1.24E-04,0.000,4.099E-04,3.18E-04,60.8,,,,,,,,,,
,,,,,,,,6.168E-02,3.820E-04,1.554E-05,4.03E-04,,3.46E-06,0.00E+00,0.00E+00,1.81,282.98,3.21E-06,,1.61E-04,0.000,3.395E-04,3.27E-04,22.1,,,,,,,,,,
,,,,,,,,6.229E-02,3.127E-04,1.417E-05,4.09E-04,,3.50E-06,0.00E+00,0.00E+00,1.81,282.98,3.21E-06,,2.14E-04,0.000,2.604E-04,3.23E-04,14.4,,,,,,,,,,
,,,,,,,,6.292E-02,2.747E-04,1.327E-05,3.86E-04,,3.53E-06,0.00E+00,0.00E+00,0.90,284.50,3.21E-06,,2.70E-04,0.000,1.851E-04,3.07E-04,0.2,,,,,,,,,,
,,,,,,,,6.355E-02,2.114E-04,1.170E-05,3.40E-04,,3.55E-06,0.00E+00,0.00E+00,0.90,284.50,3.20E-06,,3.16E-04,0.000,1.240E-04,2.80E-04,0.2,,,,,,,,,,
,,,,,,,,6.418E-02,1.949E-04,1.083E-05,2.77E-04,,3.58E-06,0.00E+00,0.00E+00,1.81,286.02,3.20E-06,,3.44E-04,0.000,8.398E-05,2.46E-04,8.5,,,,,,,,,,
,,,,,,,,6.482E-02,1.405E-04,9.513E-06,2.10E-04,,3.62E-06,0.00E+00,0.00E+00,1.81,286.02,3.19E-06,,3.48E-04,0.000,6.729E-05,2.09E-04,1.6,,,,,,,,,,
,,,,,,,,6.547E-02,1.063E-04,8.364E-06,1.47E-04,,3.66E-06,0.00E+00,0.00E+00,1.81,287.54,3.19E-06,,3.28E-04,0.000,7.161E-05,1.73E-04,11.9,,,,,,,,,,
,,,,,,,,6.613E-02,1.143E-04,8.529E-06,9.81E-05,,3.69E-06,0.00E+00,0.00E+00,1.81,287.54,3.18E-06,,2.87E-04,0.000,9.109E-05,1.44E-04,19.9,,,,,,,,,,
,,,,,,,,6.679E-02,1.207E-04,8.620E-06,6.79E-05,,3.72E-06,0.00E+00,0.00E+00,1.81,289.06,3.18E-06,,2.33E-04,0.000,1.183E-04,1.22E-04,0.8,,,,,,,,,,
,,,,,,,,6.746E-02,1.242E-04,9.042E-06,5.89E-05,,3.75E-06,0.00E+00,0.00E+00,1.81,289.06,3.16E-06,,1.70E-04,0.000,1.468E-04,1.09E-04,2.0,,,,,,,,,,
,,,,,,,,6.813E-02,1.351E-04,9.094E-06,6.92E-05,,3.77E-06,0.00E+00,0.00E+00,1.81,290.57,3.16E-06,,1.11E-04,0.000,1.684E-04,1.04E-04,4.8,,,,,,,,,,
,,,,,,,,6.881E-02,1.554E-04,9.578E-06,8.74E-05,,3.79E-06,0.00E+00,0.00E+00,1.81,290.57,3.14E-06,,7.40E-05,0.000,1.767E-04,1.06E-04,10.0,,,,,,,,,,
,,,,,,,,6.881E-02,1.602E-04,9.851E-06,8.74E-05,,3.79E-06,0.00E+00,0.00E+00,1.81,292.09,3.14E-06,,7.40E-05,0.000,1.767E-04,1.06E-04,26.2,,,,,,,,,,
,,,,,,,,6.950E-02,1.667E-04,9.906E-06,1.08E-04,,3.79E-06,0.00E+00,0.00E+00,1.81,292.09,3.13E-06,,5.53E-05,0.000,1.750E-04,1.11E-04,24.5,,,,,,,,,,
,,,,,,,,6.950E-02,1.779E-04,8.312E-06,1.08E-04,,3.79E-06,0.00E+00,0.00E+00,1.81,292.85,3.13E-06,,5.53E-05,0.000,1.750E-04,1.11E-04,31.2,,,,,,,,,,
,,,,,,,,7.019E-02,1.797E-04,1.021E-05,1.28E-04,,3.77E-06,0.00E+00,0.00E+00,1.81,292.85,3.14E-06,,4.89E-05,0.000,1.664E-04,1.18E-04,51.9,,,,,,,,,,
,,,,,,,,7.019E-02,1.947E-04,8.564E-06,1.28E-04,,3.74E-06,0.00E+00,0.00E+00,1.81,293.76,3.14E-06,,4.89E-05,0.000,1.664E-04,1.18E-04,36.7,,,,,,,,,,
,,,,,,,,7.090E-02,1.788E-04,1.009E-05,1.44E-04,,3.70E-06,0.00E+00,0.00E+00,1.81,293.76,3.13E-06,,5.51E-05,0.000,1.532E-04,1.24E-04,68.1,,,,,,,,,,
,,,,,,,,7.090E-02,1.620E-04,7.591E-06,1.44E-04,,3.66E-06,0.00E+00,0.00E+00,1.81,295.57,3.13E-06,,5.51E-05,0.000,1.532E-04,1.24E-04,29.5,,,,,,,,,,
,,,,,,,,7.160E-02,1.487E-04,9.126E-06,1.51E-04,,3.60E-06,0.00E+00,0.00E+00,1.81,295.57,3.11E-06,,7.09E-05,0.000,1.387E-04,1.28E-04,20.1,,,,,,,,,,
,,,,,,,,7.160E-02,1.476E-04,7.039E-06,1.51E-04,,3.54E-06,0.00E+00,0.00E+00,1.81,297.38,3.11E-06,,7.09E-05,0.000,1.387E-04,1.28E-04,5.2,,,,,,,,,,
,,,,,,,,7.232E-02,1.258E-04,6.223E-06,1.50E-04,,3.47E-06,0.00E+00,0.00E+00,1.81,297.38,3.09E-06,,9.10E-05,0.000,1.258E-04,1.29E-04,7.0,,,,,,,,,,
,,,,,,,,7.232E-02,1.163E-04,8.178E-06,1.50E-04,,3.39E-06,0.00E+00,0.00E+00,1.81,299.19,3.09E-06,,9.10E-05,0.000,1.258E-04,1.29E-04,0.3,,,,,,,,,,
,,,,,,,,7.304E-02,1.063E-04,7.988E-06,1.42E-04,,3.30E-06,0.00E+00,0.00E+00,1.81,299.19,3.07E-06,,1.10E-04,0.000,1.155E-04,1.27E-04,1.8,,,,,,,,,,
,,,,,,,,7.304E-02,1.085E-04,5.831E-06,1.42E-04,,3.22E-06,0.00E+00,0.00E+00,1.81,301.00,3.07E-06,,1.10E-04,0.000,1.155E-04,1.27E-04,6.8,,,,,,,,,,
,,,,,,,,7.377E-02,8.749E-05,5.269E-06,1.30E-04,,3.15E-06,0.00E+00,0.00E+00,0.90,301.00,3.06E-06,,1.23E-04,0.000,1.073E-04,1.23E-04,5.8,,,,,,,,,,
,,,,,,,,7.377E-02,9.105E-05,7.460E-06,1.30E-04,,3.12E-06,0.00E+00,0.00E+00,0.76,302.80,3.06E-06,,1.23E-04,0.000,1.073E-04,1.23E-04,44.4,,,,,,,,,,
,,,,,,,,7.451E-02,9.579E-05,5.363E-06,1.18E-04,,3.06E-06,0.00E+00,0.00E+00,1.52,302.80,3.06E-06,,1.29E-04,0.000,1.000E-04,1.16E-04,11.4,,,,,,,,,,
,,,,,,,,7.451E-02,8.461E-05,7.106E-06,1.18E-04,,2.98E-06,0.00E+00,0.00E+00,1.52,304.61,3.06E-06,,1.29E-04,0.000,1.000E-04,1.16E-04,14.5,,,,,,,,,,
,,,,,,,,7.526E-02,9.336E-05,7.296E-06,1.07E-04,,2.91E-06,0.00E+00,0.00E+00,1.52,304.61,3.05E-06,,1.28E-04,0.000,9.220E-05,1.09E-04,11.4,,,,,,,,,,
,,,,,,,,7.526E-02,7.794E-05,4.964E-06,1.07E-04,,2.84E-06,0.00E+00,0.00E+00,1.52,306.42,3.05E-06,,1.28E-04,0.000,9.220E-05,1.09E-04,4.3,,,,,,,,,,
,,,,,,,,7.601E-02,8.353E-05,6.729E-06,9.85E-05,,2.77E-06,0.00E+00,0.00E+00,1.52,306.42,3.05E-06,,1.21E-04,0.000,8.344E-05,1.00E-04,20.5,,,,,,,,,,
,,,,,,,,7.601E-02,7.294E-05,4.840E-06,9.85E-05,,2.70E-06,0.00E+00,0.00E+00,1.52,308.23,3.05E-06,,1.21E-04,0.000,8.344E-05,1.00E-04,6.3,,,,,,,,,,
,,,,,,,,7.677E-02,9.261E-05,7.450E-06,9.16E-05,,2.64E-06,0.00E+00,0.00E+00,1.52,308.23,3.06E-06,,1.11E-04,0.000,7.462E-05,9.23E-05,16.0,,,,,,,,,,
,,,,,,,,7.677E-02,8.106E-05,4.864E-06,9.16E-05,,2.59E-06,0.00E+00,0.00E+00,1.52,310.04,3.06E-06,,1.11E-04,0.000,7.462E-05,9.23E-05,0.0,,,,,,,,,,
,,,,,,,,7.754E-02,8.682E-05,4.863E-06,8.52E-05,,2.54E-06,0.00E+00,0.00E+00,1.52,310.04,3.07E-06,,1.01E-04,0.000,6.787E-05,8.48E-05,0.6,,,,,,,,,,
,,,,,,,,7.754E-02,9.055E-05,7.695E-06,8.52E-05,,2.50E-06,0.00E+00,0.00E+00,1.52,311.85,3.07E-06,,1.01E-04,0.000,6.787E-05,8.48E-05,0.2,,,,,,,,,,
,,,,,,,,7.831E-02,8.818E-05,5.035E-06,7.82E-05,,2.46E-06,0.00E+00,0.00E+00,1.52,311.85,3.09E-06,,9.19E-05,0.000,6.579E-05,7.85E-05,2.4,,,,,,,,,,
,,,,,,,,7.831E-02,7.551E-05,6.865E-06,7.82E-05,,2.43E-06,0.00E+00,0.00E+00,1.52,313.66,3.09E-06,,9.19E-05,0.000,6.579E-05,7.85E-05,3.7,,,,,,,,,,
,,,,,,,,7.910E-02,7.661E-05,6.839E-06,7.03E-05,,2.40E-06,0.00E+00,0.00E+00,1.52,313.66,3.11E-06,,8.46E-05,0.000,7.035E-05,7.39E-05,0.1,,,,,,,,,,
,,,,,,,,7.910E-02,8.190E-05,4.630E-06,7.03E-05,,2.38E-06,0.00E+00,0.00E+00,1.52,315.47,3.11E-06,,8.46E-05,0.000,7.035E-05,7.39E-05,0.2,,,,,,,,,,
,,,,,,,,7.989E-02,7.303E-05,6.653E-06,6.26E-05,,2.37E-06,0.00E+00,0.00E+00,1.52,315.47,3.13E-06,,7.87E-05,0.000,8.183E-05,7.14E-05,5.1,,,,,,,,,,
,,,,,,,,7.989E-02,8.757E-05,4.658E-06,6.26E-05,,2.35E-06,0.00E+00,0.00E+00,1.52,317.28,3.13E-06,,7.87E-05,0.000,8.183E-05,7.14E-05,0.1,,,,,,,,,,
,,,,,,,,8.069E-02,6.921E-05,6.714E-06,5.70E-05,,2.35E-06,0.00E+00,0.00E+00,1.52,317.28,3.17E-06,,7.31E-05,0.000,9.824E-05,7.14E-05,12.1,,,,,,,,,,
,,,,,,,,8.069E-02,7.751E-05,4.086E-06,5.70E-05,,2.34E-06,0.00E+00,0.00E+00,1.52,319.09,3.17E-06,,7.31E-05,0.000,9.824E-05,7.14E-05,0.1,,,,,,,,,,
,,,,,,,,8.149E-02,7.151E-05,4.189E-06,5.58E-05,,2.34E-06,0.00E+00,0.00E+00,1.52,319.09,3.20E-06,,6.69E-05,0.000,1.155E-04,7.35E-05,1.0,,,,,,,,,,
,,,,,,,,8.149E-02,7.404E-05,6.826E-06,5.58E-05,,2.34E-06,0.00E+00,0.00E+00,1.52,320.90,3.20E-06,,6.69E-05,0.000,1.155E-04,7.35E-05,0.2,,,,,,,,,,
,,,,,,,,8.231E-02,6.695E-05,6.441E-06,6.05E-05,,2.35E-06,0.00E+00,0.00E+00,1.52,320.90,3.24E-06,,6.00E-05,0.000,1.286E-04,7.74E-05,0.2,,,,,,,,,,
,,,,,,,,8.231E-02,7.501E-05,4.123E-06,6.05E-05,,2.35E-06,0.00E+00,0.00E+00,0.76,322.71,3.24E-06,,6.00E-05,0.000,1.286E-04,7.74E-05,2.6,,,,,,,,,,
,,,,,,,,8.313E-02,6.969E-05,3.905E-06,7.11E-05,,2.35E-06,0.00E+00,0.00E+00,0.76,322.71,3.29E-06,,5.31E-05,0.000,1.329E-04,8.21E-05,2.9,,,,,,,,,,
,,,,,,,,8.313E-02,6.702E-05,6.317E-06,7.11E-05,,2.36E-06,0.00E+00,0.00E+00,1.52,324.52,3.29E-06,,5.31E-05,0.000,1.329E-04,8.21E-05,10.1,,,,,,,,,,
,,,,,,,,8.396E-02,7.524E-05,3.983E-06,8.57E-05,,2.38E-06,0.00E+00,0.00E+00,1.52,324.52,3.34E-06,,4.81E-05,0.000,1.259E-04,8.63E-05,9.4,,,,,,,,,,
,,,,,,,,8.396E-02,7.608E-05,6.665E-06,8.57E-05,,2.39E-06,0.00E+00,0.00E+00,1.52,326.33,3.34E-06,,4.81E-05,0.000,1.259E-04,8.63E-05,7.8,,,,,,,,,,
,,,,,,,,8.480E-02,8.351E-05,6.910E-06,1.01E-04,,2.41E-06,0.00E+00,0.00E+00,1.52,326.33,3.39E-06,,4.68E-05,0.000,1.079E-04,8.89E-05,3.7,,,,,,,,,,
,,,,,,,,8.480E-02,8.766E-05,3.940E-06,1.01E-04,,2.43E-06,0.00E+00,0.00E+00,1.52,328.14,3.39E-06,,4.68E-05,0.000,1.079E-04,8.89E-05,0.6,,,,,,,,,,
,,,,,,,,8.565E-02,8.709E-05,7.524E-06,1.11E-04,,2.45E-06,0.00E+00,0.00E+00,1.52,328.14,3.44E-06,,5.06E-05,0.000,8.254E-05,8.89E-05,0.1,,,,,,,,,,
,,,,,,,,8.565E-02,9.048E-05,3.742E-06,1.11E-04,,2.47E-06,0.00E+00,0.00E+00,1.52,329.95,3.44E-06,,5.06E-05,0.000,8.254E-05,8.89E-05,0.1,,,,,,,,,,
,,,,,,,,8.651E-02,9.159E-05,3.880E-06,1.14E-04,,2.50E-06,0.00E+00,0.00E+00,1.52,329.95,3.50E-06,,5.96E-05,0.000,5.521E-05,8.56E-05,1.7,,,,,,,,,,
,,,,,,,,8.651E-02,8.282E-05,7.589E-06,1.14E-04,,2.53E-06,0.00E+00,0.00E+00,1.52,331.76,3.50E-06,,5.96E-05,0.000,5.521E-05,8.56E-05,2.4,,,,,,,,,,
,,,,,,,,8.737E-02,9.793E-05,9.041E-06,1.07E-04,,2.55E-06,0.00E+00,0.00E+00,1.52,331.76,3.54E-06,,7.21E-05,0.000,3.169E-05,7.92E-05,0.2,,,,,,,,,,
,,,,,,,,8.737E-02,9.440E-05,3.773E-06,1.07E-04,,2.59E-06,0.00E+00,0.00E+00,1.52,332.66,3.54E-06,,7.21E-05,0.000,3.169E-05,7.92E-05,4.3,,,,,,,,,,
,,,,,,,,8.825E-02,7.097E-05,3.368E-06,9.04E-05,,2.62E-06,0.00E+00,0.00E+00,1.52,332.66,3.56E-06,,8.49E-05,0.000,1.616E-05,7.05E-05,40.2,,,,,,,,,,
,,,,,,,,8.825E-02,9.531E-05,9.839E-06,9.04E-05,,2.66E-06,0.00E+00,0.00E+00,1.52,333.57,3.56E-06,,8.49E-05,0.000,1.616E-05,7.05E-05,0.0,,,,,,,,,,
,,,,,,,,8.913E-02,5.647E-05,8.834E-06,6.94E-05,,2.70E-06,0.00E+00,0.00E+00,1.52,333.57,3.60E-06,,9.44E-05,0.000,9.765E-06,6.08E-05,12.3,,,,,,,,,,
,,,,,,,,8.913E-02,6.711E-05,3.311E-06,6.94E-05,,2.75E-06,0.00E+00,0.00E+00,1.52,335.38,3.60E-06,,9.44E-05,0.000,9.765E-06,6.08E-05,0.2,,,,,,,,,,
,,,,,,,,9.002E-02,5.322E-05,2.799E-06,4.93E-05,,2.80E-06,0.00E+00,0.00E+00,1.52,335.38,3.65E-06,,9.80E-05,0.000,1.034E-05,5.17E-05,21.6,,,,,,,,,,
,,,,,,,,9.002E-02,6.548E-05,9.757E-06,4.93E-05,,2.85E-06,0.00E+00,0.00E+00,1.52,337.19,3.65E-06,,9.80E-05,0.000,1.034E-05,5.17E-05,0.3,,,,,,,,,,
,,,,,,,,9.092E-02,4.383E-05,2.573E-06,3.04E-05,,2.90E-06,0.00E+00,0.00E+00,1.52,337.19,3.70E-06,,9.37E-05,0.000,1.553E-05,4.25E-05,5.5,,,,,,,,,,
,,,,,,,,9.183E-02,3.743E-05,2.457E-06,1.45E-05,,2.96E-06,0.00E+00,0.00E+00,1.52,338.99,3.70E-06,,7.92E-05,0.000,2.280E-05,3.28E-05,18.5,,,,,,,,,,
,,,,,,,,9.275E-02,3.294E-05,2.284E-06,8.42E-06,,3.02E-06,0.00E+00,0.00E+00,1.52,338.99,3.75E-06,,5.90E-05,0.000,2.707E-05,2.57E-05,22.6,,,,,,,,,,
